ID,activity_date,start_date,end_date,activity,activity_details,duration_min,source,weekday,weekday_name
105,3/1/2020 21:44,3/1/2020 21:44,3/1/2020 22:02,Caminata,HIGH ,18,Google Maps,7,Domingo
106,3/2/2020 14:07,3/2/2020 14:07,3/2/2020 14:25,Caminata,HIGH ,18,Google Maps,1,Lunes
107,3/5/2020 12:57,3/5/2020 12:57,3/5/2020 13:12,Caminata,HIGH ,15,Google Maps,4,Jueves
108,3/6/2020 0:14,3/6/2020 0:14,3/6/2020 0:29,Caminata,HIGH ,15,Google Maps,5,Viernes
109,3/6/2020 23:32,3/6/2020 23:32,3/6/2020 23:50,Caminata,HIGH ,18,Google Maps,5,Viernes
110,3/9/2020 13:41,3/9/2020 13:41,3/9/2020 13:59,Caminata,HIGH ,18,Google Maps,1,Lunes
111,3/10/2020 12:59,3/10/2020 12:59,3/10/2020 13:15,Caminata,HIGH ,16,Google Maps,2,Martes
112,3/13/2020 13:42,3/13/2020 13:42,3/13/2020 14:03,Caminata,HIGH ,21,Google Maps,5,Viernes
113,3/13/2020 23:17,3/13/2020 23:17,3/13/2020 23:36,Caminata,HIGH ,19,Google Maps,5,Viernes
259,4/5/2020 13:51,,,Yoga,MalovaElena,47,YouTube,7,Domingo
260,4/5/2020 13:59,,,Yoga,MalovaElena,47,YouTube,7,Domingo
261,4/24/2020 19:14,,,Yoga,MalovaElena,40,YouTube,5,Viernes
262,4/24/2020 19:18,,,Yoga,MalovaElena,43,YouTube,5,Viernes
263,4/28/2020 18:18,,,Yoga,MalovaElena,33,YouTube,2,Martes
264,5/3/2020 14:52,,,Yoga,MalovaElena,32,YouTube,7,Domingo
265,5/3/2020 14:52,,,Yoga,MalovaElena,49,YouTube,7,Domingo
266,5/3/2020 15:00,,,Yoga,MalovaElena,47,YouTube,7,Domingo
267,5/8/2020 18:46,,,Yoga,MalovaElena,36,YouTube,5,Viernes
268,5/8/2020 18:49,,,Yoga,MalovaElena,32,YouTube,5,Viernes
269,5/8/2020 18:50,,,Yoga,MalovaElena,35,YouTube,5,Viernes
114,5/9/2020 22:02,5/9/2020 22:02,5/9/2020 22:18,Caminata,HIGH ,16,Google Maps,6,Sábado
115,5/9/2020 22:26,5/9/2020 22:26,5/9/2020 22:57,Caminata,HIGH ,31,Google Maps,6,Sábado
116,5/9/2020 23:07,5/9/2020 23:07,5/9/2020 23:22,Caminata,HIGH CONFIRMED,15,Google Maps,6,Sábado
117,5/13/2020 19:32,5/13/2020 19:32,5/13/2020 20:05,Caminata,HIGH ,33,Google Maps,3,Miércoles
118,5/16/2020 19:32,5/16/2020 19:32,5/16/2020 19:54,Caminata,HIGH ,22,Google Maps,6,Sábado
119,5/16/2020 20:00,5/16/2020 20:00,5/16/2020 20:23,Caminata,HIGH ,23,Google Maps,6,Sábado
120,5/17/2020 19:05,5/17/2020 19:05,5/17/2020 19:52,Caminata,HIGH ,47,Google Maps,7,Domingo
121,5/19/2020 23:33,5/19/2020 23:33,5/19/2020 23:48,Caminata,HIGH ,15,Google Maps,2,Martes
122,5/19/2020 23:58,5/19/2020 23:58,5/20/2020 0:13,Caminata,HIGH ,15,Google Maps,2,Martes
123,5/23/2020 17:58,5/23/2020 17:58,5/23/2020 18:16,Caminata,HIGH ,18,Google Maps,6,Sábado
124,6/3/2020 22:15,6/3/2020 22:15,6/3/2020 22:49,Caminata,HIGH ,34,Google Maps,3,Miércoles
125,6/3/2020 23:38,6/3/2020 23:38,6/4/2020 0:01,Caminata,HIGH ,23,Google Maps,3,Miércoles
126,6/4/2020 0:06,6/4/2020 0:06,6/4/2020 0:25,Caminata,HIGH ,19,Google Maps,4,Jueves
127,6/10/2020 19:08,6/10/2020 19:08,6/10/2020 19:23,Caminata,HIGH ,15,Google Maps,3,Miércoles
128,6/10/2020 19:56,6/10/2020 19:56,6/10/2020 20:20,Caminata,HIGH ,24,Google Maps,3,Miércoles
129,6/14/2020 19:49,6/14/2020 19:49,6/14/2020 20:08,Caminata,HIGH ,19,Google Maps,7,Domingo
270,6/17/2020 17:29,,,Yoga,MalovaElena,33,YouTube,3,Miércoles
130,6/20/2020 23:04,6/20/2020 23:04,6/20/2020 23:21,Caminata,HIGH ,17,Google Maps,6,Sábado
131,6/20/2020 23:31,6/20/2020 23:31,6/20/2020 23:53,Caminata,HIGH ,22,Google Maps,6,Sábado
271,7/8/2020 17:43,,,Yoga,MalovaElena,67,YouTube,3,Miércoles
132,7/10/2020 20:00,7/10/2020 20:00,7/10/2020 20:40,Caminata,HIGH ,40,Google Maps,5,Viernes
272,7/15/2020 18:20,,,Yoga,MalovaElena,59,YouTube,3,Miércoles
273,7/15/2020 18:24,,,Yoga,MalovaElena,34,YouTube,3,Miércoles
274,7/22/2020 18:06,,,Yoga,MalovaElena,35,YouTube,3,Miércoles
275,7/22/2020 18:07,,,Yoga,MalovaElena,30,YouTube,3,Miércoles
133,7/25/2020 19:36,7/25/2020 19:36,7/25/2020 20:03,Caminata,HIGH ,27,Google Maps,6,Sábado
134,7/25/2020 20:39,7/25/2020 20:39,7/25/2020 21:05,Caminata,HIGH ,26,Google Maps,6,Sábado
135,7/31/2020 23:23,7/31/2020 23:23,7/31/2020 23:39,Caminata,HIGH ,16,Google Maps,5,Viernes
136,8/1/2020 0:18,8/1/2020 0:18,8/1/2020 0:43,Caminata,HIGH ,25,Google Maps,6,Sábado
137,8/4/2020 19:14,8/4/2020 19:14,8/4/2020 19:29,Caminata,HIGH ,15,Google Maps,2,Martes
276,8/6/2020 18:51,,,Yoga,MalovaElena,14,YouTube,4,Jueves
138,8/8/2020 17:12,8/8/2020 17:12,8/8/2020 17:48,Caminata,HIGH ,36,Google Maps,6,Sábado
277,8/8/2020 19:28,,,Yoga,MalovaElena,12,YouTube,6,Sábado
278,8/8/2020 19:30,,,Yoga,MalovaElena,36,YouTube,6,Sábado
279,8/9/2020 9:34,,,Yoga,MalovaElena,32,YouTube,7,Domingo
139,8/15/2020 0:25,8/15/2020 0:25,8/15/2020 0:51,Caminata,HIGH ,26,Google Maps,6,Sábado
140,8/15/2020 18:37,8/15/2020 18:37,8/15/2020 18:53,Caminata,HIGH ,16,Google Maps,6,Sábado
141,8/15/2020 19:11,8/15/2020 19:11,8/15/2020 19:27,Caminata,HIGH ,16,Google Maps,6,Sábado
142,8/16/2020 22:36,8/16/2020 22:36,8/17/2020 0:44,Caminata,HIGH CONFIRMED,128,Google Maps,7,Domingo
143,8/17/2020 2:02,8/17/2020 2:02,8/17/2020 2:52,Caminata,HIGH ,50,Google Maps,1,Lunes
280,8/21/2020 18:07,,,Yoga,MalovaElena,32,YouTube,5,Viernes
144,8/23/2020 18:06,8/23/2020 18:06,8/23/2020 18:25,Caminata,HIGH ,19,Google Maps,7,Domingo
145,8/27/2020 23:40,8/27/2020 23:40,8/28/2020 0:13,Caminata,HIGH ,33,Google Maps,4,Jueves
146,9/6/2020 17:00,9/6/2020 17:00,9/6/2020 17:22,Caminata,HIGH ,22,Google Maps,7,Domingo
147,9/11/2020 23:23,9/11/2020 23:23,9/11/2020 23:43,Caminata,HIGH ,20,Google Maps,5,Viernes
148,9/11/2020 23:57,9/11/2020 23:57,9/12/2020 0:15,Caminata,HIGH ,18,Google Maps,5,Viernes
149,9/19/2020 1:00,9/19/2020 1:00,9/19/2020 3:09,Caminata,HIGH CONFIRMED,129,Google Maps,6,Sábado
150,9/24/2020 0:21,9/24/2020 0:21,9/24/2020 0:36,Caminata,HIGH ,15,Google Maps,4,Jueves
151,9/24/2020 1:30,9/24/2020 1:30,9/24/2020 1:58,Caminata,HIGH ,28,Google Maps,4,Jueves
152,9/30/2020 23:48,9/30/2020 23:48,10/1/2020 0:12,Caminata,HIGH ,24,Google Maps,3,Miércoles
153,10/8/2020 23:51,10/8/2020 23:51,10/9/2020 0:17,Caminata,HIGH ,26,Google Maps,4,Jueves
154,10/11/2020 1:34,10/11/2020 1:34,10/11/2020 1:52,Caminata,HIGH ,18,Google Maps,7,Domingo
155,10/11/2020 16:48,10/11/2020 16:48,10/11/2020 17:15,Caminata,HIGH ,27,Google Maps,7,Domingo
156,10/11/2020 17:21,10/11/2020 17:21,10/11/2020 18:26,Caminata,HIGH CONFIRMED,65,Google Maps,7,Domingo
157,10/11/2020 18:38,10/11/2020 18:38,10/11/2020 19:28,Caminata,HIGH CONFIRMED,50,Google Maps,7,Domingo
158,10/11/2020 19:30,10/11/2020 19:30,10/11/2020 21:16,Caminata,HIGH CONFIRMED,106,Google Maps,7,Domingo
159,10/17/2020 0:55,10/17/2020 0:55,10/17/2020 1:49,Caminata,HIGH ,54,Google Maps,6,Sábado
